CIS,Nom,Nom_Substance
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CALCIUM (CHLORURE DE) DIHYDRATÉ
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE SODIUM
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",GLUCOSE MONOHYDRATÉ
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",CALCIUM (CHLORURE DE) DIHYDRATÉ
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE SODIUM
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM
63880820,"ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
63661520,"ACEBUTOLOL ARROW LAB 200 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL
68167148,"ACEBUTOLOL ARROW LAB 400 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL
65637614,"ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
60281598,"ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
64021217,"ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
69461099,"ACEBUTOLOL EG 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
63874155,"ACEBUTOLOL EG 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
64304820,"ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé",CHLORHYDRATE D'ACÉBUTOLOL
67050875,"ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé",CHLORHYDRATE D'ACÉBUTOLOL
64847741,"ACEBUTOLOL TEVA 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
62604153,"ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL
67771398,"ACEBUTOLOL VIATRIS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
62500717,"ACEBUTOLOL VIATRIS 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
60477038,"ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
